13	-1	51	0.05	0.05	0.05	0.0	90.0	45.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; VIBE2
14	-1	51	0.05	0.05	0.05	-15.0	75.0	45.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; FLOWERS
15	-1	51	0.1	0.15	0.0	0.0	90.0	-135.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; CANE
16	-1	3	0.2	0.15	-0.05	30.0	135.0	-15.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; GRENADE
16	-1	3	0.1	0.15	0.1	30.0	15.0	-15.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; GRENADE
16	-1	3	0.3	0.1	-0.05	30.0	135.0	-15.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; GRENADE
16	-1	3	0.2	0.1	0.1	30.0	15.0	-15.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; GRENADE
17	-1	3	0.1	0.15	-0.1	30.0	150.0	90.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; TEARGAS
17	-1	3	0.15	0.15	0.05	30.0	30.0	90.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; TEARGAS
17	-1	3	0.2	0.1	-0.1	30.0	150.0	90.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; TEARGAS
17	-1	3	0.25	0.1	0.05	30.0	30.0	90.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; TEARGAS
18	-1	3	0.1	0.05	-0.2	30.0	150.0	90.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; MOLOTOV
18	-1	3	0.2	0.05	0.15	30.0	22.5	90.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; MOLOTOV
18	-1	3	0.2	0.05	-0.2	30.0	150.0	90.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; MOLOTOV
18	-1	3	0.3	0.05	0.15	30.0	22.5	90.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; MOLOTOV
19	-1	2	0.15	0.05	-0.2	0.0	7.5	-60.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; ROCKET
19	-1	2	0.15	0.05	0.2	0.0	7.5	-60.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; ROCKET
22	-1	51	-0.05	-0.05	0.1	-97.5	0.0	-7.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; PISTOL
22	-1	41	-0.05	-0.05	-0.05	-82.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; PISTOL
23	-1	51	-0.05	-0.05	0.1	-97.5	0.0	-7.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; PISTOL_SILENCED
24	-1	51	-0.05	-0.05	0.1	-97.5	0.0	-7.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; DESERT_EAGLE
25	6	3	0.25	-0.15	-0.1	-15.0	187.5	0.0	1	0.05	-0.05	-0.15	22.5	15.0	-167.5	; SHOTGUN
26	-1	1	0.1	0.0	-0.15	37.5	15.0	-167.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; SAWNOFF
26	-1	1	0.1	-0.05	0.2	37.5	180.0	-7.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; SAWNOFF
27	6	3	0.35	-0.2	-0.05	-15.0	187.5	0.0	1	0.15	0.0	-0.2	22.5	15.0	-167.5	; SPAS12
28	-1	41	0.1	-0.1	-0.05	-82.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; MICRO_UZI
28	-1	51	0.1	-0.1	0.1	-97.5	0.0	-7.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; MICRO_UZI
29	5	3	0.3	-0.15	0.0	187.5	165.0	0.0	41	0.1	-0.15	-0.1	-75.0	30.0	-22.5	; MP5
30	7	3	0.25	-0.15	-0.1	187.5	-165.0	0.0	3	0.25	-0.1	0.05	187.5	180.0	0.0	; AK47
31	7	3	0.25	-0.15	-0.1	187.5	-165.0	0.0	3	0.25	-0.1	0.05	187.5	180.0	0.0	; M4
32	-1	51	0.1	-0.1	0.1	-97.5	0.0	-7.5	0	0.0	0.0	0.0	0.0	0.0	0.0	; TEC9
32	-1	41	0.1	-0.1	-0.05	-82.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; TEC9
33	-1	3	0.25	-0.15	-0.1	-15.0	187.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; COUNTRYRIFLE
34	-1	3	0.25	-0.15	-0.1	-15.0	187.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; SNIPERRIFLE
35	-1	3	0.2	-0.2	-0.1	0.0	15.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; RLAUNCHER
36	-1	3	0.1	-0.2	-0.1	0.0	15.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; RLAUNCHER_HS
37	-1	3	0.55	-0.1	0.0	0.0	-15.0	180.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; FTHROWER
38	-1	3	0.4	-0.35	-0.1	60.0	-90.0	75.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; MINIGUN
39	-1	3	0.0	0.25	0.05	180.0	90.0	30.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; SATCHEL_CHARGE
39	-1	3	0.0	0.1	0.3	180.0	90.0	-30.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; SATCHEL_CHARGE
40	-1	2	0.15	0.1	-0.15	-120.0	0.0	180.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; DETONATOR
41	-1	2	0.2	0.15	0.15	0.0	90.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; SPRAYCAN
42	-1	2	0.35	0.2	0.2	0.0	135.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; EXTINGUISHER
43	-1	1	0.1	0.2	0.05	-135.0	-165.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; CAMERA
44	-1	5	0.1	0.1	0.0	0.0	0.0	-30.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; NIGHTVISION
45	-1	5	0.1	0.1	0.0	0.0	0.0	-30.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; INFRARED
46	-1	3	0.1	-0.15	0.0	0.0	90.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	; PARACHUTE
